rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b|A00|Anderssen's Opening|
rnbqkbnr/pppp1ppp/8/4p3/P6P/8/1PPPPPP1/RNBQKBNR b|A00|Crab Opening|
rnbqkbnr/pppppppp/8/8/P7/8/1PPPPPPP/RNBQKBNR b|A00|Ware (Meadow Hay) Opening|
r1bq1rk1/ppp1ppbp/2np1np1/8/2PPP3/2N1BP2/PP4PP/R2QKBNR w|E83|King's Indian|Saemisch, 6...Nc6|
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/2N2P2/PP4PP/R1BQKBNR w|E81|King's Indian|Saemisch, 5...O-O|
rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N2P2/PP4PP/R1BQKBNR b|E80|King's Indian|Saemisch Variation |
r1bq1rk1/pp4bp/2nppnp1/2p5/2P1PPPP/2N5/PP2B3/R1BQK1NR b|E77|King's Indian|Six pawns attack|
rnbq1rk1/pp3pbp/3p1np1/2ppP3/2P2P2/2N2N2/PP2B1PP/R1BQK2R b|E77|King's Indian|Four pawns attack, Florentine gambit|
rnbq1rk1/pp3pbp/3ppnp1/2pP4/2P1PP2/2N2N2/PP2B1PP/R1BQK2R b|E77|King's Indian|Four pawns attack|
r1bq1rk1/pp2ppbp/2np1np1/8/2PNPP2/2N1B3/PP2B1PP/R2QK2R b|E79|King's Indian|Four pawns attack, Main line|
rnbq1rk1/pp2ppbp/3p1np1/2p5/2PPPP2/2N2N2/PP2B1PP/R1BQK2R b|E78|King's Indian|Four pawns attack, with be2 and Nf3|
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPPP2/2N5/PP2B1PP/R1BQK1NR b|E77|King's Indian|Four pawns attack, 6.be2|
rnbq1rk1/pp2ppbp/3p1np1/2pP4/2P1PP2/2N2N2/PP4PP/R1BQKB1R b|E76|King's Indian|Four pawns attack, dynamic line|
rnbqk2r/ppp1ppbp/3p1np1/8/2PPPP2/2N5/PP4PP/R1BQKBNR b|E76|King's Indian|Four pawns attack|
rnbq1rk1/ppp2pbp/3p1np1/4p3/2PPP3/2N3P1/PP2NPBP/R1BQK2R b|E72|King's Indian|Pomar system|
rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N3P1/PP3P1P/R1BQKBNR b|E72|King's Indian with e4 & g3|Makagonov system (5.h3)|
rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N4P/PP3PP1/R1BQKBNR b|E71|King's Indian|Makagonov system (5.h3)|
rnbq1rk1/ppp2pbp/3p1np1/4p3/2PPP3/2N1BN2/PP2BPPP/R2QK2R b|E92|King's Indian|Gligoric-Taimanov system|
rnbq1rk1/1pp2pbp/3p1np1/p2Pp3/2P1P3/2N2N2/PP2BPPP/R1BQK2R w|E92|King's Indian|Petrosian system, Stein Variation |
r1bq1rk1/pppn1pb1/3p3p/3Pp1pn/2P1P2P/2N2NB1/PP2BPP1/R2QK2R b|E93|King's Indian|Petrosian system, Keres Variation |
r1bq1rk1/pppn1pbp/3p1np1/3Pp3/2P1P3/2N2N2/PP2BPPP/R1BQK2R w|E93|King's Indian|Petrosian system, Main line|
rnbq1rk1/ppp2pbp/3p1np1/3Pp3/2P1P3/2N2N2/PP2BPPP/R1BQK2R b|E92|King's Indian|Petrosian system|
rnbq1rk1/ppp2pbp/3p1np1/4P3/2P1P3/2N2N2/PP2BPPP/R1BQK2R b|E92|King's Indian|Andersson Variation |
rnbq1rk1/pp3pbp/2pp1np1/4p3/2PPP3/2N2N2/PP2BPPP/R1BQ1RK1 w|E94|King's Indian|Orthodox, Donner Variation |
r1bq1rk1/1p1n1pbp/2pp1np1/p3p3/2PPP3/2N2N2/PP3PPP/R1BQRBK1 w|E96|King's Indian|Orthodox, 7...Nbd7, Main line|
r1bq1rk1/pppn1pbp/3p1np1/4p3/2PPP3/2N2N2/PP2BPPP/R1BQR1K1 b|E95|King's Indian|Orthodox, 7...Nbd7, 8.Re1|
r1bq1rk1/pppn1pbp/3p1np1/4p3/2PPP3/2N2N2/PP2BPPP/R1BQ1RK1 w|E94|King's Indian|Orthodox, 7...Nbd7|
r1bq1rk1/ppp1npbp/3p1np1/3Pp3/1PP1P3/2N2N2/P3BPPP/R1BQ1RK1 b|E97|King's Indian|Orthodox, Aronin-Taimanov, bayonet attack|
r1bq1rk1/pppnn1bp/3p2p1/3Ppp2/2P1P3/2N2P2/PP2B1PP/R1BQNRK1 w|E99|King's Indian|Orthodox, Aronin-Taimanov, Main line|
r1bq1rk1/ppp1npbp/3p1np1/3Pp3/2P1P3/2N5/PP2BPPP/R1BQNRK1 b|E98|King's Indian|Orthodox, Aronin-Taimanov, 9.Ne1|
r1bq1rk1/ppp2pbp/2np1np1/4p3/2PPP3/2N2N2/PP2BPPP/R1BQ1RK1 w|E97|King's Indian|Orthodox, Aronin-Taimanov Variation (Yugoslav attack / Mar del Plata Variation )|
rnbq1rk1/ppp2pbp/3p1np1/4p3/2PPP3/2N2N2/PP2BPPP/R1BQ1RK1 b|E94|King's Indian|Orthodox Variation |
rnbq1rk1/ppp2pbp/3p1np1/4p3/2PPP3/2N2N2/PP2BPPP/R1BQK2R w|E92|King's Indian|Classical Variation |
r1bq1rk1/ppp1ppbp/n2p1np1/8/2PPP3/2N2N2/PP2BPPP/R1BQK2R w|E91|King's Indian|Kazakh Variation |
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/2N2N2/PP2BPPP/R1BQK2R b|E91|King's Indian|6.be2|
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/2N1BN2/PP3PPP/R2QKB1R b|E90|King's Indian|Larsen Variation |
rnbq1rk1/ppp1ppbp/3p1np1/6B1/2PPP3/2N2N2/PP3PPP/R2QKB1R b|E90|King's Indian|Zinnowitz Variation |
rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N2N2/PP3PPP/R1BQKB1R b|E90|King's Indian|5.Nf3|
rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP2NPPP/R1BQKB1R b|E70|King's Indian|Kramer system|
rnbqk2r/ppppppbp/5np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR b|E70|King's Indian|4.e4|
rnbqk2r/ppp1ppbp/3p1np1/6B1/2PP4/2N2N2/PP2PPPP/R2QKB1R b|E61|King's Indian|Smyslov system|
r1bq1rk1/pp2ppbp/2np1np1/2pP4/2P5/2N2NP1/PP2PPBP/R1BQ1RK1 b|E66|King's Indian|Fianchetto, Yugoslav Panno|
rnbq1rk1/pp2ppbp/3p1np1/2p5/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b|E65|King's Indian|Fianchetto, Yugoslav, 7.O-O|
rnbq1rk1/pp2ppbp/3p1np1/2p5/2PP4/2N2NP1/PP2PPBP/R1BQK2R w|E64|King's Indian|Fianchetto, Yugoslav system|
rn1q1rk1/pp2ppbp/2pp1np1/5b2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w|E62|King's Indian|Fianchetto, Larsen system|
rnb2rk1/pp2ppbp/2pp1np1/q7/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w|E62|King's Indian|Fianchetto, Kavalek (bronstein) Variation |
r1bq1rk1/pp1n1pbp/2pp1np1/4p3/2PPP3/2N2NPP/PP3PB1/R1BQ1RK1 b|E69|King's Indian|Fianchetto, Classical Main line|
r1bq1rk1/pppn1pbp/3p1np1/4p3/2PPP3/2N2NP1/PP3PBP/R1BQ1RK1 b|E68|King's Indian|Fianchetto, Classical Variation , 8.e4|
r1bq1rk1/pppn1pbp/3p1np1/4p3/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w|E67|King's Indian|Fianchetto, Classical Variation |
r1bq1rk1/pppnppbp/3p1np1/8/2PP4/2N2NP1/PP2PPBP/R1BQK2R w|E67|King's Indian|Fianchetto with ...Nd7|
r1bq1rk1/1pp1ppbp/p1np1np1/8/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w|E63|King's Indian|Fianchetto, Panno Variation |
r2q1rk1/ppp1ppbp/2np1np1/5b2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w|E62|King's Indian|Fianchetto, lesser Simagin (Spassky) Variation |
r2q1rk1/ppp1ppbp/2np1np1/8/2PP2b1/2N2NP1/PP2PPBP/R1BQ1RK1 w|E62|King's Indian|Fianchetto, Simagin Variation |
r1bq1rk1/ppp2pbp/2np1np1/4p3/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w|E62|King's Indian|Fianchetto, Uhlmann (Szabo) Variation |
r1bq1rk1/ppp1ppbp/2np1np1/8/2PP4/2N2NP1/PP2PPBP/R1BQK2R w|E62|King's Indian|Fianchetto with ...Nc6|
rnbqk2r/ppp1ppbp/3p1np1/8/2PP4/2N2NP1/PP2PP1P/R1BQKB1R b|E62|King's Indian|Fianchetto Variation |
rnb2rk1/ppB1ppbp/6p1/3q4/3P4/4P3/PP3PPP/R2QKBNR b|D84|Gruenfeld|Gruenfeld gambit accepted|
rn1q1rk1/pp2ppbp/4bnp1/2Pp4/2P2B2/2N1P3/PP3PPP/2RQKBNR w|D83|Gruenfeld|Gruenfeld gambit, Botvinnik Variation |
rnbq1rk1/ppp1ppbp/5np1/3p4/2PP1B2/2N1P3/PP3PPP/2RQKBNR b|D83|Gruenfeld|Gruenfeld gambit, Capablanca Variation |
rnbq1rk1/ppp1ppbp/5np1/3p4/2PP1B2/2N1P3/PP3PPP/R2QKBNR w|D83|Gruenfeld|Gruenfeld gambit|
rnbqkb1r/ppp1pp1p/5np1/3p4/2PP1B2/2N5/PP2PPPP/R2QKBNR b|D82|Gruenfeld|4.bf4|
rnbqkb1r/pp2pp1p/6p1/2p3B1/2PPp3/8/PP1QPPPP/R3KBNR w|D80|Gruenfeld|Lundin Variation |
rnbqkb1r/ppp1pp1p/5np1/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR b|D80|Gruenfeld|Stockholm Variation |
rnbq1rk1/p1p1ppbp/1p4p1/8/2BPP3/2P5/P3NPPP/R1BQK2R w|D86|Gruenfeld|Exchange, Simagin's lesser Variation |
r2q1rk1/pp2pBbp/6p1/n1p5/3PP1b1/2P1BP2/P3N1PP/R2Q1RK1 b|D87|Gruenfeld|Exchange, Seville Variation |
r1bq1rk1/pp2ppbp/2n3p1/8/2BPP3/4B3/P3NPPP/R2Q1RK1 b|D88|Gruenfeld|Main line, 10...cd, 11.cd|
r2q1rk1/pp2ppbp/4b1p1/n7/3PP3/3BBP2/P3N1PP/R2Q1RK1 w|D89|Gruenfeld|Main line, 13.bd3|
r2q1rk1/pp2ppbp/4b1p1/n2P4/4P3/3BBP2/P3N1PP/R2Q1RK1 b|D89|Gruenfeld|Exchange, Sokolsky Variation |
rnbq1rk1/pp2ppbp/6p1/2p5/2BPP3/2P5/P3NPPP/R1BQK2R w|D87|Gruenfeld|Exchange |
r1bq1rk1/ppp1ppbp/2n3p1/8/2BPP3/2P5/P3NPPP/R1BQK2R w|D86|Gruenfeld|Exchange, Simagin's improved Variation |
rnb2rk1/p1pqppbp/1p4p1/8/2BPP3/2P5/P3NPPP/R1BQ1RK1 w|D86|Gruenfeld|Exchange, Larsen Variation |
rnbqk2r/ppp1ppbp/6p1/8/2BPP3/2P5/P4PPP/R1BQK1NR b|D86|Gruenfeld|Exchange, Classical Variation |
rnbqk2r/ppp1ppbp/6p1/8/3PP3/2P2N2/P4PPP/R1BQKB1R b|D85|Gruenfeld|Modern Exchange Variation |
rnbqkb1r/ppp1pp1p/6p1/3n4/3P4/2N5/PP2PPPP/R1BQKBNR w|D85|Gruenfeld|Exchange Variation |
rnbqkb1r/ppp1pp1p/5np1/3p4/2PP2P1/2N5/PP2PP1P/R1BQKBNR b|D80|Gruenfeld|Spike gambit|
rnbq1rk1/ppp1ppbp/5np1/3p4/2PP1B2/2N1PN2/PP3PPP/R2QKB1R b|D93|Gruenfeld with bf4    e3|5.bf4|
rnbqk2r/ppp1ppbp/5np1/3p4/2PP1B2/2N2N2/PP2PPPP/R2QKB1R b|D92|Gruenfeld|5.bf4|
rnbqk2r/ppp1ppbp/5np1/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R b|D91|Gruenfeld|5.bg5|
rnbq1rk1/ppp1ppbp/5np1/3p4/1PPP4/2N1PN2/P4PPP/R1BQKB1R b|D94|Gruenfeld|Makogonov Variation |
rnbq1rk1/ppp1ppbp/5np1/3p4/2PP4/2N1PN2/PP1B1PPP/R2QKB1R b|D94|Gruenfeld|Opovcensky Variation |
rn1q1rk1/pp2ppbp/2p2np1/3p1b2/2PP4/2NBPN2/PP3PPP/R1BQ1RK1 w|D94|Gruenfeld|Flohr defense|
rn1q1rk1/pp2ppbp/2p2np1/3p4/2PP2b1/2NBPN2/PP3PPP/R1BQ1RK1 w|D94|Gruenfeld|Smyslov defense|
rnbq1rk1/ppp1ppbp/5np1/3p4/2PP4/2NBPN2/PP3PPP/R1BQK2R b|D94|Gruenfeld with e3    bd3|Opovcensky Variation |
r1bq1rk1/pppnppbp/5np1/6N1/2BP4/1QN1P3/PP3PPP/R1B1K2R b|D95|Gruenfeld|Pachman Variation |
rnbq1rk1/ppp2pbp/4pnp1/3p4/2PP4/1QN1PN2/PP3PPP/R1B1KB1R w|D95|Gruenfeld|Botvinnik Variation |
rnbq1rk1/ppp1ppbp/5np1/3p4/2PP4/1QN1PN2/PP3PPP/R1B1KB1R b|D95|Gruenfeld with e3 & Qb3|Flohr defense|
rnbqk2r/ppp1ppbp/5np1/3p4/2PP4/2N1PN2/PP3PPP/R1BQKB1R b|D94|Gruenfeld|5.e3|
rnbqk2r/ppp1ppbp/5np1/3p4/Q1PP4/2N2N2/PP2PPPP/R1B1KB1R b|D90|Gruenfeld|Flohr Variation |
rnbq1rk1/1pp1ppbp/p4np1/8/2QPP3/2N2N2/PP3PPP/R1B1KB1R w|D97|Gruenfeld|Russian, Alekhine (Hungarian) Variation |
rnbq1rk1/p1p1ppbp/1p3np1/8/2QPP3/2N2N2/PP3PPP/R1B1KB1R w|D97|Gruenfeld|Russian, Levenfish Variation |
r2q1rk1/ppp1ppbp/1nn3p1/8/3PP1b1/2NQBN2/PP2BPPP/2KR3R b|D98|Gruenfeld|Russian, Keres Variation |
rn1q1rk1/pppnppbp/6p1/8/3PP1b1/1QN1BN2/PP3PPP/R3KB1R b|D99|Gruenfeld defense|Smyslov, Main line|
rn1q1rk1/pp1nppbp/6p1/2p5/3PP1b1/1QN1BN2/PP3PPP/R3KB1R w|D99|Gruenfeld defense|Smyslov, Yugoslav Variation |
rn1q1rk1/ppp1ppbp/5np1/8/2QPP1b1/2N2N2/PP3PPP/R1B1KB1R w|D98|Gruenfeld|Russian, Smyslov Variation |
rnbq1rk1/pp2ppbp/2p2np1/8/2QPP3/2N2N2/PP3PPP/R1B1KB1R w|D97|Gruenfeld|Russian, Szabo (boleslavsky) Variation |
r1bq1rk1/ppp1ppbp/n4np1/8/2QPP3/2N2N2/PP3PPP/R1B1KB1R w|D97|Gruenfeld|Russian, Prins Variation |
r1bq1rk1/ppp1ppbp/2n2np1/8/2QPP3/2N2N2/PP3PPP/R1B1KB1R w|D97|Gruenfeld|Russian, byrne (Simagin) Variation |
rnbq1rk1/ppp1ppbp/5np1/8/2QPP3/2N2N2/PP3PPP/R1B1KB1R b|D97|Gruenfeld|Russian Variation with e4|
rnbqk2r/ppp1ppbp/5np1/3p4/2PP4/1QN2N2/PP2PPPP/R1B1KB1R b|D96|Gruenfeld|Russian Variation |
rnbqk2r/ppp1ppbp/5np1/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w|D90|Gruenfeld|Three knights Variation |
rnbqkb1r/pp2pp1p/2p2np1/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w|D90|Gruenfeld|Schlechter Variation |
rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b|D90|Gruenfeld|Three knights Variation |
rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/1QN5/PP2PPPP/R1B1KBNR b|D81|Gruenfeld|Russian Variation |
rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w|D80|Gruenfeld defense|Orthodox defense, Classical, 13.de|
rnbqkb1r/pppppp1p/5np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR b|E61|King's Indian defense, 3.Nc3|3.g3, counterthrust Variation |
rnbqkb1r/pppppp1p/5np1/8/2PP4/5N2/PP2PPPP/RNBQKB1R b|E60|King's Indian, 3.Nf3|4.e3, Main line|
rnbqkb1r/pppppp1p/5np1/8/2PP4/8/PPQ1PPPP/RNB1KBNR b|E60|Queen's pawn|Mengarini attack|
rnbqkb1r/pppppp1p/5np1/8/2PP4/8/PP2PPPP/RNBQKBNR w|E60|King's Indian defense|4.e3, Main line|
r1bqkb1r/pppppppp/2n2n2/8/2PP4/8/PP2PPPP/RNBQKBNR w|A50|Kevitz-Trajkovich defense|Fianchetto without c4|
rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR b|A50|Queen's pawn game|Fianchetto without c4|
rnbqkb1r/ppp1pppp/5n2/3p4/3PP3/5P2/PPP3PP/RNBQKBNR b|A45|blackmar-Diemer gambit|bronstein gambit|
rnbqkb1r/ppp1pppp/5n2/3p4/3P2P1/5P2/PPP1P2P/RNBQKBNR b|A45|Gedult attack|bronstein gambit|
rnbqkb1r/pppppppp/5n2/8/3P4/5P2/PPP1P1PP/RNBQKBNR b|A45|Paleface attack|bronstein gambit|
rnbqkb1r/pppppppp/5n2/8/3P1P2/8/PPP1P1PP/RNBQKBNR b|A45|Canard Opening|bronstein gambit|
rnbqkb1r/pppppppp/5n2/8/3P2P1/8/PPP1PP1P/RNBQKBNR b|A45|Queen's pawn|bronstein gambit|
rn1qkb1r/pb1ppppp/1p3n2/8/2PQ4/5NP1/PP2PPBP/RNB1K2R b|A47|Queen's Indian|Marienbad system, berg Variation |
rn1qkb1r/pb1ppppp/1p3n2/2p5/3P4/5NP1/PPP1PPBP/RNBQK2R w|A47|Queen's Indian|Marienbad system|
rnbqkb1r/p1pppppp/1p3n2/8/3P4/5N2/PPP1PPPP/RNBQKB1R w|A47|Queen's Indian defense|Yusupov-Rubinstein system|
rnbqkb1r/pp1p1ppp/4pn2/2p3B1/3PP3/5N2/PPP2PPP/RN1QKB1R b|A46|Queen's pawn|Torre attack, Wagner gambit|
rnbqkb1r/pppp1ppp/4pn2/6B1/3P4/5N2/PPP1PPPP/RN1QKB1R b|A46|Queen's pawn|Torre attack|
rnbqkb1r/pppp1ppp/4pn2/8/3P4/4PN2/PPP2PPP/RNBQKB1R b|A46|Queen's pawn|Yusupov-Rubinstein system|
rnbqkb1r/pppppp1p/5np1/8/3P1B2/5N2/PPP1PPPP/RN1QKB1R b|A48|King's Indian|London system|
rnbqkb1r/pppppp1p/5np1/6B1/3P4/5N2/PPP1PPPP/RN1QKB1R b|A48|King's Indian|Torre attack|
rnbqkb1r/pppppp1p/5np1/8/3P4/5NP1/PPP1PP1P/RNBQKB1R b|A49|King's Indian|Fianchetto without c4|
rnbqkb1r/pppppp1p/5np1/8/3P4/5N2/PPP1PPPP/RNBQKB1R w|A48|King's Indian|East Indian defense|
rnbqkb1r/pppppppp/8/8/3Pn3/5N2/PPP1PPPP/RNBQKB1R w|A46|Doery defense|Yusupov-Rubinstein system|
rnbqkb1r/pppppppp/5n2/8/3P4/5N2/PPP1PPPP/RNBQKB1R b|A46|Queen's pawn game|bronstein gambit|
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w|A45|Queen's pawn game|Schmid's system|
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b|A40|Queen's pawn|
r1bqkb1r/ppp2ppp/2np1n2/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR w|A00|Amsterdam attack|
rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b|A00|Van't Kruijs Opening|
rnbqkbnr/1ppppppp/8/p7/4P3/8/PPPP1PPP/RNBQKBNR w|B00|Corn stalk defense|
rnbqkbnr/1ppppppp/p7/8/4P3/8/PPPP1PPP/RNBQKBNR w|B00|St. George (baker) defense|
rn1qkbnr/p1pppppp/bp6/8/3PP3/8/PPP2PPP/RNBQKBNR w|B00|Guatemala defense|
rnbqkbnr/p1pppppp/1p6/8/4P3/8/PPPP1PPP/RNBQKBNR w|B00|Owen defense|
rnbqkbnr/pp1ppppp/8/8/4P3/p7/2PP1PPP/RNBQKBNR w|B20|Sicilian|wing gambit, Carlsbad Variation |
rnb1kbnr/pp2pppp/8/3q4/1p6/P7/1BPP1PPP/RN1QKBNR b|B20|Sicilian|wing gambit, Marienbad Variation |
rnbqkbnr/pp1ppppp/8/8/1p2P3/P7/2PP1PPP/RNBQKBNR b|B20|Sicilian|wing gambit, Marshall Variation |
rnbqkbnr/pp1ppppp/8/8/1pP1P3/8/P2P1PPP/RNBQKBNR b|B20|Sicilian|wing gambit, Santasiere Variation |
rnbqkbnr/pp1ppppp/8/2p5/1P2P3/8/P1PP1PPP/RNBQKBNR b|B20|Sicilian|wing gambit|
r1bqkb1r/pp1ppppp/2n5/2pnP3/8/N1P2N2/PP1P1PPP/R1BQKB1R b|b22|Sicilian|2.c3, Heidenfeld Variation |
rnbqkbnr/pp1ppppp/8/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR b|b22|Sicilian|Alapin's Variation (2.c3)|
r1bqkbnr/pp2ppp1/2np4/2p4p/2P1P3/2N3P1/PP1P1P1P/R1BQKBNR w|B20|Sicilian|Gloria Variation |
2bqkbnr/r4ppp/p1npp3/1p6/4P3/1BN2N2/PP2QPPP/R1B2RK1 w|b21|Sicilian|Smith-Morra gambit, Chicago defense|
rnbqkbnr/pp1ppppp/8/8/3pP3/2P5/PP3PPP/RNBQKBNR b|b21|Sicilian|Smith-Morra gambit|
rnbqkbnr/pp1p1ppp/8/4p3/3pP3/2P2N2/PP3PPP/RNBQKB1R b|b21|Sicilian|Andreaschek gambit|
rnbqkbnr/pp1ppppp/8/2p5/3PP3/8/PPP2PPP/RNBQKBNR b|b21|Sicilian|Smith-Morra gambit|
rnbqkbnr/pp1ppppp/8/2p5/4PP2/8/PPPP2PP/RNBQKBNR b|b21|Sicilian|Grand Prix attack|
rnbqkbnr/pp1ppppp/8/2p5/4P3/6P1/PPPP1P1P/RNBQKBNR b|B20|Sicilian|Steinitz Variation |
rnbqkbnr/pp3ppp/4p3/2pp4/4P3/2N3P1/PPPP1P1P/R1BQKBNR w|b23|Sicilian|Closed, Korchnoi Variation |
r1bqk1nr/pp1p1pbp/2n1p1p1/2p2P2/2B1P3/2N2N2/PPPP2PP/R1BQK2R b|b23|Sicilian|Grand Prix attack, Schofman Variation |
r1bqkbnr/pp1ppppp/2n5/2p5/4PP2/2N5/PPPP2PP/R1BQKBNR b|b23|Sicilian|Grand Prix attack|
r1bqk1nr/pp2ppbp/2np2p1/2p5/4P3/2NPB1P1/PPP2PBP/R2QK1NR b|b26|Sicilian|Closed, 6.be3|
r1bqk1nr/pp3pbp/2np2p1/2p1p3/4PP2/2NP2P1/PPP3BP/R1BQK1NR w|b25|Sicilian|Closed, 6.f4 e5 (Botvinnik)|
r1bqk1nr/pp2ppbp/2np2p1/2p5/4PP2/2NP2P1/PPP3BP/R1BQK1NR b|b25|Sicilian|Closed, 6.f4|
r1bqk1nr/pp3pbp/2np2p1/2p1p3/4P3/2NP2P1/PPP1NPBP/R1BQK2R w|b25|Sicilian|Closed, 6.Ne2 e5 (Botvinnik)|
r1bqk1nr/pp2ppbp/2np2p1/2p5/4P3/2NP2P1/PPP2PBP/R1BQK1NR w|b25|Sicilian|Closed|
r1bqk1nr/pp1p1pbp/4p1p1/2p5/3nP3/3PB1P1/PPP1NPBP/R2QK1NR b|b24|Sicilian|Closed, Smyslov Variation |
r1bqkbnr/pp1ppppp/2n5/2p5/4P3/2N3P1/PPPP1P1P/R1BQKBNR b|b24|Sicilian|Closed|
r1bqkbnr/pp1ppppp/2n5/2p5/4P3/2N5/PPPPNPPP/R1BQKB1R b|b23|Sicilian|chameleon Variation |
r1bqkbnr/pp1ppppp/2n5/2p5/4P3/2N5/PPPP1PPP/R1BQKBNR w|b23|Sicilian|Closed, 2...Nc6|
rnbqkbnr/pp1ppppp/8/2p5/4P3/2N5/PPPP1PPP/R1BQKBNR b|b23|Sicilian|Closed|
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPPNPPP/RNBQKB1R b|B20|Sicilian|Keres Variation (2.Ne2)|
rnbqkbnr/1p1ppppp/p7/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w|b28|Sicilian|O'Kelly Variation |
rnbqkbnr/p2ppppp/1p6/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w|b27|Sicilian|Katalimov Variation |
rnbqkbnr/pp2pppp/3p4/2p5/1P2P3/5N2/P1PP1PPP/RNBQKB1R b|b50|Sicilian|wing gambit deferred|
rnbqkbnr/pp2pppp/3p4/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R b|b51|Sicilian|Canal-Sokolsky (Nimzovich-Rossolimo, Moscow) attack|
rn2kbnr/pp1qpppp/3p4/2p5/2P1P3/5N2/PP1P1PPP/RNBQK2R b|b52|Sicilian|Canal-Sokolsky attack, Sokolsky Variation |
r3kb1r/pp1qpppp/2np1n2/2p5/3PP3/2P2N2/PP3PPP/RNBQ1RK1 b|b52|Sicilian|Canal-Sokolsky attack, bronstein gambit|
rn1qkbnr/pp1bpppp/3p4/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R w|b52|Sicilian|Canal-Sokolsky attack, 3...bd7|
rnbqkb1r/pp3ppp/3p1n2/1B2p3/3NP3/5P2/PPP3PP/RNBQK2R b|b55|Sicilian|Prins Variation , Venice attack|
rnbqkb1r/pp2pppp/3p1n2/8/3NP3/5P2/PPP3PP/RNBQKB1R b|b54|Sicilian|Prins (Moscow) Variation |
rnbqkb1r/1p2pppp/p2p1n2/8/2BNP3/2N5/PPP2PPP/R1BQK2R b|B90|Sicilian|Najdorf, Lipnitzky attack|
rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N5/PPP1BPPP/R1BQK2R b|B92|Sicilian|Najdorf, Opovcensky Variation |
rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N1B3/PPP2PPP/R2QKB1R b|B90|Sicilian|Najdorf, byrne (English) attack|
rnb1kb1r/2q2ppp/p3pn2/1p2P1B1/3N4/2N5/PPP1Q1PP/R3KB1R b|B96|Sicilian|Najdorf, Polugayevsky, Simagin Variation |
rnbqkb1r/5ppp/p2ppn2/1p4B1/3NPP2/2N5/PPP3PP/R2QKB1R w|B96|Sicilian|Najdorf, Polugayevsky Variation |
rnbqk2r/1p2bp2/p2ppn1p/6p1/3NPP1B/2N2Q2/PPP3PP/R3KB1R w|B98|Sicilian|Najdorf, Goteborg (Argentine) Variation |
rnb1k2r/1pq1bpp1/p2ppn1p/8/3NPP1B/2N2Q2/PPP3PP/R3KB1R w|B98|Sicilian|Najdorf, browne Variation |
r1b1k2r/1pqnbppp/p2ppn2/6B1/3NPP2/2N2Q2/PPP3PP/2KR1B1R w|B99|Sicilian|Najdorf, 7...be7 Main line|
rnb1k2r/1pq1bppp/p2ppn2/6B1/3NPP2/2N2Q2/PPP3PP/R3KB1R w|B98|Sicilian|Najdorf Variation |
rnbqk2r/1p2bppp/p2ppn2/6B1/3NPP2/2N5/PPP3PP/R2QKB1R w|B98|Sicilian|Najdorf, 7...be7|
